id,name,season,ip,so,bb,hr,er,gs
425794,Adam Wainwright,2023,101.0,55,41,20,83,21
425844,Zack Greinke,2023,142.33,97,23,25,80,27
434378,Justin Verlander,2023,162.33,144,45,18,58,27
434378,Justin Verlander,2023,68.0,63,14,9,25,11
434378,Justin Verlander,2023,94.33,81,31,9,33,16
445926,Jesse Chavez,2023,34.67,39,12,2,6,1
446372,Corey Kluber,2023,55.0,42,21,17,43,9
448179,Rich Hill,2023,146.33,129,58,23,88,27
448179,Rich Hill,2023,119.0,104,47,15,63,22
448179,Rich Hill,2023,27.33,25,11,8,25,5
450203,Charlie Morton,2023,163.33,183,83,14,66,30
453286,Max Scherzer,2023,152.67,174,45,28,64,27
453286,Max Scherzer,2023,107.67,121,30,23,48,19
453286,Max Scherzer,2023,45.0,53,15,5,16,8
456501,Johnny Cueto,2023,52.33,39,15,17,35,10
458681,Lance Lynn,2023,183.67,191,67,44,117,32
458681,Lance Lynn,2023,64.0,47,22,16,31,11
458681,Lance Lynn,2023,119.67,144,45,28,86,21
471911,Carlos Carrasco,2023,90.0,66,38,18,68,20
477132,Clayton Kershaw,2023,131.67,137,40,19,36,24
489119,Wade Miley,2023,120.33,79,38,16,42,23
500779,Jose Quintana,2023,75.67,60,24,5,30,13
502043,Kyle Gibson,2023,192.0,157,55,23,101,33
502171,Alex Cobb,2023,151.33,131,37,19,65,28
502179,Paolo Espino,2023,4.0,3,3,1,11,0
502624,Chase Anderson,2023,86.33,64,33,17,52,17
502624,Chase Anderson,2023,81.33,62,32,17,52,17
502624,Chase Anderson,2023,5.0,2,1,0,0,0
506433,Yu Darvish,2023,136.33,141,43,18,69,24
518397,Scott Alexander,2023,48.33,31,11,2,25,8
518489,Ryan Brasier,2023,59.67,56,19,3,20,0
518489,Ryan Brasier,2023,21.0,18,9,2,17,0
518489,Ryan Brasier,2023,38.67,38,10,1,3,0
518516,Madison Bumgarner,2023,16.67,10,15,4,19,4
518585,Fernando Cruz,2023,66.0,98,28,6,36,2
518876,Merrill Kelly,2023,177.67,187,69,20,65,30
519242,Chris Sale,2023,102.67,125,29,15,49,20
527048,Martín Pérez,2023,141.67,93,49,21,70,20
527054,Julio Teheran,2023,71.67,50,13,13,35,11
541640,Erasmo Ramírez,2023,60.33,43,13,11,43,2
541640,Erasmo Ramírez,2023,27.0,13,6,4,19,0
541640,Erasmo Ramírez,2023,33.33,30,7,7,24,2
542881,Tyler Anderson,2023,141.0,119,64,20,85,25
542888,Shawn Armstrong,2023,52.0,54,11,2,8,6
543037,Gerrit Cole,2023,209.0,222,48,20,61,33
543101,Anthony DeSclafani,2023,99.67,79,20,15,54,18
543135,Nathan Eovaldi,2023,144.0,132,47,15,58,25
543243,Sonny Gray,2023,184.0,183,55,8,57,32
543294,Kyle Hendricks,2023,137.0,93,27,13,57,24
543475,Jordan Lyles,2023,177.67,120,45,39,124,31
543518,Scott McGough,2023,70.33,86,30,14,37,1
543521,Collin McHugh,2023,58.67,47,22,5,28,1
543548,Tommy Milone,2023,9.0,3,6,1,2,2
547179,Michael Lorenzen,2023,153.0,111,47,20,71,25
547179,Michael Lorenzen,2023,105.67,83,27,11,42,18
547179,Michael Lorenzen,2023,47.33,28,20,9,29,7
547943,Hyun Jin Ryu,2023,52.0,38,14,9,20,11
548389,Ross Stripling,2023,89.0,70,16,20,53,11
554430,Zack Wheeler,2023,192.0,212,39,20,77,32
570632,José Ureña,2023,44.67,29,22,13,32,10
570632,José Ureña,2023,18.33,9,14,9,20,5
570632,José Ureña,2023,26.33,20,8,4,12,5
570666,Luis Cessa,2023,26.0,11,12,3,26,6
571510,Matthew Boyd,2023,71.0,73,25,11,43,15
571578,Patrick Corbin,2023,180.0,124,57,33,104,32
571616,Matt Dermody,2023,4.0,1,1,2,3,1
571656,Buck Farmer,2023,75.0,70,29,11,35,0
571760,Andrew Heaney,2023,147.33,151,60,23,68,28
571863,Matt Koch,2023,38.67,27,9,7,22,1
571882,Derek Law,2023,55.0,45,26,6,22,3
571927,Steven Matz,2023,105.0,98,32,11,45,17
571945,Miles Mikolas,2023,201.33,137,39,26,107,35
571946,Shelby Miller,2023,42.0,42,19,3,8,1
571948,Hoby Milner,2023,64.33,59,13,5,13,0
572020,James Paxton,2023,96.0,101,33,18,48,19
572971,Dallas Keuchel,2023,37.67,25,18,3,25,6
573009,Joe Mantiply,2023,39.0,28,9,4,20,3
573186,Marcus Stroman,2023,136.67,119,52,9,60,25
579328,Yusei Kikuchi,2023,167.67,181,48,27,72,32
592229,Dylan Covey,2023,43.0,30,17,5,18,1
592229,Dylan Covey,2023,4.0,3,1,2,2,0
592229,Dylan Covey,2023,39.0,27,16,3,16,1
592254,José De León,2023,17.33,17,5,2,9,1
592332,Kevin Gausman,2023,185.0,237,55,19,65,31
592351,Jon Gray,2023,157.33,142,54,22,72,29
592662,Robbie Ray,2023,3.33,3,5,0,3,1
592767,Drew Smyly,2023,142.33,141,56,26,79,23
592789,Noah Syndergaard,2023,88.67,56,19,22,64,18
592789,Noah Syndergaard,2023,33.33,18,10,10,20,6
592789,Noah Syndergaard,2023,55.33,38,9,12,44,12
592791,Jameson Taillon,2023,154.33,140,41,27,83,29
592826,Vince Velasquez,2023,37.33,37,14,4,16,8
592836,Taijuan Walker,2023,172.67,138,71,20,84,31
592866,Trevor Williams,2023,144.33,111,53,34,89,30
593334,Domingo Germán,2023,108.67,114,34,20,55,19
593423,Frankie Montas,2023,1.33,1,1,0,0,0
593958,Eduardo Rodriguez,2023,152.67,143,48,15,56,26
594577,Mike Mayers,2023,26.33,17,10,4,18,2
594580,Sam Moll,2023,62.33,68,30,2,21,1
594580,Sam Moll,2023,24.67,22,11,1,2,0
594580,Sam Moll,2023,37.67,46,19,1,19,1
594798,Jacob deGrom,2023,30.33,45,4,2,9,6
594835,Marco Gonzales,2023,50.0,34,18,5,29,10
594902,Ben Lively,2023,88.67,79,25,20,53,12
594943,Zach Neal,2023,27.0,25,14,8,20,2
595345,Steven Okert,2023,58.67,73,24,9,29,2
596001,Jakob Junis,2023,86.0,96,21,12,37,4
596133,Luke Weaver,2023,123.67,109,40,29,88,25
596133,Luke Weaver,2023,97.0,85,34,24,74,21
596133,Luke Weaver,2023,13.33,8,3,2,9,1
596133,Luke Weaver,2023,13.33,16,3,3,5,3
596295,Austin Gomber,2023,139.0,87,43,26,85,27
598264,Matt Barnes,2023,21.33,20,10,2,13,1
601713,Nick Pivetta,2023,142.67,183,50,23,64,16
605135,Chris Bassitt,2023,200.0,186,59,28,80,33
605154,John Brebbia,2023,38.33,47,14,6,17,10
605182,Mike Clevinger,2023,131.33,110,40,16,55,24
605200,Zach Davies,2023,82.33,72,39,10,64,18
605242,Michael Fulmer,2023,57.0,65,28,7,28,1
605288,Adrian Houser,2023,111.33,96,34,13,51,21
605397,Joe Musgrove,2023,97.33,97,21,10,33,17
605400,Aaron Nola,2023,193.67,202,45,32,96,32
605463,Tayler Scott,2023,17.67,17,10,3,11,2
605463,Tayler Scott,2023,3.67,2,4,1,2,1
605463,Tayler Scott,2023,6.0,8,4,0,6,0
605463,Tayler Scott,2023,8.0,7,2,2,3,1
605483,Blake Snell,2023,180.0,234,99,15,45,32
605488,Jeffrey Springs,2023,16.0,24,4,1,1,3
605513,Spencer Turnbull,2023,31.0,24,15,5,25,7
605540,Brandon Woodruff,2023,67.0,74,15,9,17,11
