date,id,home,away,hs,as,type,hfg,afg,h3,a3,hreb,areb,hto,ato,spread,total,hml,aml
2021-10-19,401358773,Milwaukee Bucks,Brooklyn Nets,127,104,,,,,,,,,,,,,
2021-10-20,401358774,Los Angeles Lakers,Golden State Warriors,114,121,,,,,,,,,,,,,
2021-10-20,401358775,New York Knicks,Boston Celtics,138,134,,,,,,,,,,,,,
2021-10-20,401359833,Charlotte Hornets,Indiana Pacers,123,122,,,,,,,,,,,,,
2021-10-20,401359834,Detroit Pistons,Chicago Bulls,88,94,,,,,,,,,,,,,
2021-10-20,401359835,Toronto Raptors,Washington Wizards,83,98,,,,,,,,,,,,,
2021-10-21,401358776,Phoenix Suns,Denver Nuggets,98,110,,,,,,,,,,,,,
2021-10-21,401358777,Atlanta Hawks,Dallas Mavericks,113,87,,,,,,,,,,,,,
2021-10-21,401359836,Memphis Grizzlies,Cleveland Cavaliers,132,121,,,,,,,,,,,,,
2021-10-21,401359837,Minnesota Timberwolves,Houston Rockets,124,106,,,,,,,,,,,,,
2021-10-21,401359838,New Orleans Pelicans,Philadelphia 76ers,97,117,,,,,,,,,,,,,
2021-10-21,401359839,San Antonio Spurs,Orlando Magic,123,97,,,,,,,,,,,,,
2021-10-21,401359840,Utah Jazz,Oklahoma City Thunder,107,86,,,,,,,,,,,,,
2021-10-21,401359841,Portland Trail Blazers,Sacramento Kings,121,124,,,,,,,,,,,,,
2021-10-22,401358778,Golden State Warriors,LA Clippers,115,113,,,,,,,,,,,,,
2021-10-22,401358779,Philadelphia 76ers,Brooklyn Nets,109,114,,,,,,,,,,,,,
2021-10-22,401359842,Miami Heat,Milwaukee Bucks,137,95,,,,,,,,,,,,,
2021-10-22,401359843,Cleveland Cavaliers,Charlotte Hornets,112,123,,,,,,,,,,,,,
2021-10-22,401359844,Orlando Magic,New York Knicks,96,121,,,,,,,,,,,,,
2021-10-22,401359845,Washington Wizards,Indiana Pacers,135,134,,,,,,,,,,,,,
2021-10-22,401359846,Boston Celtics,Toronto Raptors,83,115,,,,,,,,,,,,,
2021-10-23,401358780,Los Angeles Lakers,Phoenix Suns,105,115,,,,,,,,,,,,,
2021-10-23,401359847,Chicago Bulls,New Orleans Pelicans,128,112,,,,,,,,,,,,,
2021-10-23,401359848,Houston Rockets,Oklahoma City Thunder,124,91,,,,,,,,,,,,,
2021-10-23,401359849,Denver Nuggets,San Antonio Spurs,102,96,,,,,,,,,,,,,
2021-10-23,401359850,Sacramento Kings,Utah Jazz,101,110,,,,,,,,,,,,,
2021-10-23,401359851,Cleveland Cavaliers,Atlanta Hawks,101,95,,,,,,,,,,,,,
2021-10-23,401359852,Indiana Pacers,Miami Heat,102,91,,,,,,,,,,,,,
2021-10-23,401359853,Toronto Raptors,Dallas Mavericks,95,103,,,,,,,,,,,,,
2021-10-24,401359854,Chicago Bulls,Detroit Pistons,97,82,,,,,,,,,,,,,
2021-10-24,401359855,Minnesota Timberwolves,New Orleans Pelicans,96,89,,,,,,,,,,,,,
2021-10-24,401359856,San Antonio Spurs,Milwaukee Bucks,111,121,,,,,,,,,,,,,
2021-10-24,401359857,Portland Trail Blazers,Phoenix Suns,134,105,,,,,,,,,,,,,
2021-10-24,401359858,LA Clippers,Memphis Grizzlies,114,120,,,,,,,,,,,,,
2021-10-24,401359859,Brooklyn Nets,Charlotte Hornets,95,111,,,,,,,,,,,,,
2021-10-24,401359860,New York Knicks,Orlando Magic,104,110,,,,,,,,,,,,,
2021-10-24,401359861,Houston Rockets,Boston Celtics,97,107,,,,,,,,,,,,,
2021-10-24,401359862,Oklahoma City Thunder,Philadelphia 76ers,103,115,,,,,,,,,,,,,
2021-10-25,401359863,Sacramento Kings,Golden State Warriors,107,119,,,,,,,,,,,,,
2021-10-25,401359864,Los Angeles Lakers,Memphis Grizzlies,121,118,,,,,,,,,,,,,
2021-10-25,401359865,Charlotte Hornets,Boston Celtics,129,140,,,,,,,,,,,,,
2021-10-25,401359866,Indiana Pacers,Milwaukee Bucks,109,119,,,,,,,,,,,,,
2021-10-25,401359867,Atlanta Hawks,Detroit Pistons,122,104,,,,,,,,,,,,,
2021-10-25,401359868,Brooklyn Nets,Washington Wizards,104,90,,,,,,,,,,,,,
2021-10-25,401359869,Miami Heat,Orlando Magic,107,90,,,,,,,,,,,,,
2021-10-25,401359870,Toronto Raptors,Chicago Bulls,108,111,,,,,,,,,,,,,
2021-10-26,401359871,Minnesota Timberwolves,New Orleans Pelicans,98,107,,,,,,,,,,,,,
2021-10-26,401359872,Denver Nuggets,Cleveland Cavaliers,87,99,,,,,,,,,,,,,
2021-10-26,401359873,LA Clippers,Portland Trail Blazers,116,86,,,,,,,,,,,,,
2021-10-26,401359874,New York Knicks,Philadelphia 76ers,112,99,,,,,,,,,,,,,
2021-10-27,401359875,Oklahoma City Thunder,Golden State Warriors,98,106,,,,,,,,,,,,,
2021-10-27,401359876,Dallas Mavericks,Houston Rockets,116,106,,,,,,,,,,,,,
2021-10-27,401359877,San Antonio Spurs,Los Angeles Lakers,121,125,,,,,,,,,,,,,
2021-10-27,401359878,Utah Jazz,Denver Nuggets,122,110,,,,,,,,,,,,,
2021-10-27,401359879,Orlando Magic,Charlotte Hornets,111,120,,,,,,,,,,,,,
2021-10-27,401359880,Boston Celtics,Washington Wizards,107,116,,,,,,,,,,,,,
2021-10-27,401359881,Brooklyn Nets,Miami Heat,93,106,,,,,,,,,,,,,
2021-10-27,401359882,Toronto Raptors,Indiana Pacers,118,100,,,,,,,,,,,,,
2021-10-27,401359883,New Orleans Pelicans,Atlanta Hawks,99,102,,,,,,,,,,,,,
2021-10-28,401359884,Milwaukee Bucks,Minnesota Timberwolves,108,113,,,,,,,,,,,,,
2021-10-28,401359885,Oklahoma City Thunder,Los Angeles Lakers,123,115,,,,,,,,,,,,,
2021-10-28,401359886,Phoenix Suns,Sacramento Kings,107,110,,,,,,,,,,,,,
2021-10-28,401359887,Portland Trail Blazers,Memphis Grizzlies,116,96,,,,,,,,,,,,,
2021-10-28,401359888,LA Clippers,Cleveland Cavaliers,79,92,,,,,,,,,,,,,
2021-10-28,401359889,Philadelphia 76ers,Detroit Pistons,110,102,,,,,,,,,,,,,
2021-10-28,401359890,Washington Wizards,Atlanta Hawks,122,111,,,,,,,,,,,,,
2021-10-29,401359891,Chicago Bulls,New York Knicks,103,104,,,,,,,,,,,,,
2021-10-29,401359892,Houston Rockets,Utah Jazz,91,122,,,,,,,,,,,,,
2021-10-29,401359893,Dallas Mavericks,San Antonio Spurs,104,99,,,,,,,,,,,,,
2021-10-29,401359894,Golden State Warriors,Memphis Grizzlies,101,104,,,,,,,,,,,,,
2021-10-29,401359895,Toronto Raptors,Orlando Magic,110,109,,,,,,,,,,,,,
2021-10-29,401359896,Brooklyn Nets,Indiana Pacers,105,98,,,,,,,,,,,,,
2021-10-29,401359897,Miami Heat,Charlotte Hornets,114,99,,,,,,,,,,,,,
2021-10-30,401359898,New Orleans Pelicans,Sacramento Kings,109,113,,,,,,,,,,,,,
2021-10-30,401359899,Denver Nuggets,Dallas Mavericks,106,75,,,,,,,,,,,,,
2021-10-30,401359900,Portland Trail Blazers,LA Clippers,111,92,,,,,,,,,,,,,
2021-10-30,401359901,Los Angeles Lakers,Cleveland Cavaliers,113,101,,,,,,,,,,,,,
2021-10-30,401359902,Washington Wizards,Boston Celtics,115,112,,,,,,,,,,,,,
2021-10-30,401359903,Detroit Pistons,Orlando Magic,110,103,,,,,,,,,,,,,
2021-10-30,401359904,New Orleans Pelicans,New York Knicks,117,123,,,,,,,,,,,,,
2021-10-30,401359905,Indiana Pacers,Toronto Raptors,94,97,,,,,,,,,,,,,
2021-10-30,401359906,Philadelphia 76ers,Atlanta Hawks,122,94,,,,,,,,,,,,,
2021-10-31,401359907,Chicago Bulls,Utah Jazz,107,99,,,,,,,,,,,,,
2021-10-31,401359908,Memphis Grizzlies,Miami Heat,103,129,,,,,,,,,,,,,
2021-10-31,401359909,Milwaukee Bucks,San Antonio Spurs,93,102,,,,,,,,,,,,,
2021-10-31,401359910,Golden State Warriors,Oklahoma City Thunder,103,82,,,,,,,,,,,,,
2021-10-31,401359911,Minnesota Timberwolves,Denver Nuggets,91,93,,,,,,,,,,,,,
2021-10-31,401359912,Phoenix Suns,Cleveland Cavaliers,101,92,,,,,,,,,,,,,
2021-10-31,401359913,Dallas Mavericks,Sacramento Kings,105,99,,,,,,,,,,,,,
2021-10-31,401359914,Charlotte Hornets,Portland Trail Blazers,125,113,,,,,,,,,,,,,
2021-10-31,401359915,Milwaukee Bucks,Utah Jazz,95,107,,,,,,,,,,,,,
2021-10-31,401359916,Brooklyn Nets,Detroit Pistons,117,91,,,,,,,,,,,,,
2021-11-01,401359917,Los Angeles Lakers,Houston Rockets,95,85,,,,,,,,,,,,,
2021-11-01,401359918,Charlotte Hornets,Cleveland Cavaliers,110,113,,,,,,,,,,,,,
2021-11-01,401359919,Indiana Pacers,San Antonio Spurs,131,118,,,,,,,,,,,,,
2021-11-01,401359920,Philadelphia 76ers,Portland Trail Blazers,113,103,,,,,,,,,,,,,
2021-11-01,401359921,Atlanta Hawks,Washington Wizards,118,111,,,,,,,,,,,,,
2021-11-01,401359922,Boston Celtics,Chicago Bulls,114,128,,,,,,,,,,,,,
2021-11-01,401359923,New York Knicks,Toronto Raptors,104,113,,,,,,,,,,,,,
2021-11-02,401359924,Memphis Grizzlies,Denver Nuggets,106,97,,,,,,,,,,,,,
2021-11-02,401359925,Minnesota Timberwolves,Orlando Magic,97,115,,,,,,,,,,,,,
2021-11-02,401359926,LA Clippers,Oklahoma City Thunder,99,94,,,,,,,,,,,,,
