date,id,home,away,hs,as,ot,hsog,asog,hpp,app
2025-10-07,2025020001,Florida Panthers,Chicago Blackhawks,3,2,0,37.0,19.0,,
2025-10-07,2025020002,New York Rangers,Pittsburgh Penguins,0,3,0,25.0,31.0,,
2025-10-07,2025020003,Los Angeles Kings,Colorado Avalanche,1,4,0,25.0,23.0,,
2025-10-08,2025020004,Toronto Maple Leafs,Montréal Canadiens,5,2,0,27.0,31.0,,
2025-10-08,2025020005,Washington Capitals,Boston Bruins,1,3,0,36.0,22.0,,
2025-10-08,2025020006,Edmonton Oilers,Calgary Flames,3,4,1,35.0,22.0,,
2025-10-08,2025020007,Vegas Golden Knights,Los Angeles Kings,5,6,1,35.0,26.0,,
2025-10-09,2025020008,Boston Bruins,Chicago Blackhawks,4,3,1,33.0,24.0,,
2025-10-09,2025020009,Buffalo Sabres,New York Rangers,0,4,0,37.0,33.0,,
2025-10-09,2025020010,Detroit Red Wings,Montréal Canadiens,1,5,0,31.0,17.0,,
2025-10-09,2025020011,Tampa Bay Lightning,Ottawa Senators,4,5,0,25.0,34.0,,
2025-10-09,2025020012,Florida Panthers,Philadelphia Flyers,2,1,0,34.0,20.0,,
2025-10-09,2025020013,Pittsburgh Penguins,New York Islanders,4,3,0,28.0,37.0,,
2025-10-09,2025020014,Carolina Hurricanes,New Jersey Devils,6,3,0,33.0,22.0,,
2025-10-09,2025020015,St. Louis Blues,Minnesota Wild,0,5,0,26.0,21.0,,
2025-10-09,2025020016,Nashville Predators,Columbus Blue Jackets,2,1,0,32.0,39.0,,
2025-10-09,2025020017,Winnipeg Jets,Dallas Stars,4,5,0,25.0,37.0,,
2025-10-09,2025020018,Colorado Avalanche,Utah Mammoth,2,1,0,27.0,33.0,,
2025-10-09,2025020019,Vancouver Canucks,Calgary Flames,5,1,0,26.0,18.0,,
2025-10-09,2025020020,San Jose Sharks,Vegas Golden Knights,3,4,1,23.0,31.0,,
2025-10-09,2025020021,Seattle Kraken,Anaheim Ducks,3,1,0,31.0,36.0,,
2025-10-11,2025020022,Winnipeg Jets,Los Angeles Kings,3,2,0,27.0,32.0,,
2025-10-11,2025020023,Calgary Flames,St. Louis Blues,2,4,0,29.0,28.0,,
2025-10-11,2025020024,Boston Bruins,Buffalo Sabres,3,1,0,31.0,22.0,,
2025-10-11,2025020025,Detroit Red Wings,Toronto Maple Leafs,6,3,0,35.0,23.0,,
2025-10-11,2025020026,Tampa Bay Lightning,New Jersey Devils,3,5,0,17.0,31.0,,
2025-10-11,2025020027,Florida Panthers,Ottawa Senators,6,2,0,27.0,28.0,,
