date,id,home,away,hs,as,neutral,type,hid,aid,hfg,afg
2022-11-07,401483265,Baylor Bears,Mississippi Valley State Delta Devils,117,53,0,2,239,2400,51.4,32.7
2022-11-07,401483365,Michigan Wolverines,Purdue Fort Wayne Mastodons,75,56,0,2,130,2870,46.9,29.6
2022-11-07,401484362,Villanova Wildcats,La Salle Explorers,81,68,0,2,222,2325,55.8,40.0
2022-11-07,401485025,Stanford Cardinal,Pacific Tigers,88,78,0,2,24,279,60.4,41.8
2022-11-07,401485101,Butler Bulldogs,LSU New Orleans Privateers,89,53,0,2,2086,2443,56.3,41.2
2022-11-07,401485102,St. John's Red Storm,Merrimack Warriors,97,72,0,2,2599,2771,56.9,38.5
2022-11-07,401486936,Charlotte 49ers,Coppin State Eagles,82,59,0,2,2429,2154,50.0,40.7
2022-11-07,401487408,Morehouse Maroon Tigers,Harvard Crimson,63,68,0,2,60,108,30.3,41.4
2022-11-07,401489513,James Madison Dukes,Valley Forge Patriots,123,38,0,2,256,110414,61.3,24.6
2022-11-07,401489550,App State Mountaineers,Warren Wilson Owls,142,74,0,2,2026,2684,55.7,32.9
2022-11-07,401489662,UNC Greensboro Spartans,Johnson & Wales-Charlotte JOHNSON & WALES-CHARLOTTE,93,60,0,2,2430,3169,43.8,31.8
2022-11-07,401489690,UMass Lowell River Hawks,Fisher Eagles,108,43,0,2,2349,524,51.8,27.3
2022-11-07,401489751,Middle Tennessee Blue Raiders,Brescia Bearcats,79,52,0,2,2393,2855,51.6,33.9
2022-11-07,401493633,Milwaukee Panthers,Milwaukee Engineering Raiders,102,46,0,2,270,110437,61.3,36.4
2022-11-07,401493663,Oakland Golden Grizzlies,Defiance Yellow Jackets,92,27,0,2,2473,190,57.9,18.2
2022-11-07,401494401,Kentucky Wildcats,Howard Bison,95,63,0,2,96,47,54.8,34.3
2022-11-07,401494597,Prairie View A&M Panthers,Kansas Christian Falcons,94,79,0,2,2504,123410,49.3,52.7
2022-11-08,401482889,Boston College Eagles,Cornell Big Red,79,77,0,2,103,172,47.2,46.0
2022-11-08,401482897,Clemson Tigers,The Citadel Bulldogs,80,69,0,2,228,2643,46.2,42.9
2022-11-08,401482906,Duke Blue Devils,Jacksonville Dolphins,71,44,0,2,150,294,45.8,34.0
2022-11-08,401482914,Florida State Seminoles,Stetson Hatters,74,83,0,2,52,56,45.8,47.5
2022-11-08,401482929,Miami Hurricanes,Lafayette Leopards,67,54,0,2,2390,322,36.2,36.5
2022-11-08,401482938,NC State Wolfpack,Austin Peay Governors,99,50,0,2,152,2046,61.5,30.8
2022-11-08,401482947,North Carolina Tar Heels,UNC Wilmington Seahawks,69,56,0,2,153,350,45.8,29.3
2022-11-08,401482965,Pittsburgh Panthers,UT Martin Skyhawks,80,58,0,2,221,2630,36.6,32.3
2022-11-08,401482974,Syracuse Orange,Lehigh Mountain Hawks,90,72,0,2,183,2329,54.5,42.9
2022-11-08,401482983,Virginia Cavaliers,North Carolina Central Eagles,73,61,0,2,258,2428,42.6,41.5
2022-11-08,401482991,Virginia Tech Hokies,Delaware State Hornets,95,57,0,2,259,2169,55.0,38.7
2022-11-08,401482999,Wake Forest Demon Deacons,Fairfield Stags,71,59,0,2,154,2217,39.1,38.2
2022-11-08,401483030,Florida Gators,Stony Brook Seawolves,81,45,0,2,57,2619,47.5,30.8
2022-11-08,401483039,Auburn Tigers,George Mason Patriots,70,52,0,2,2,2244,33.8,37.5
2022-11-08,401483050,Georgia Bulldogs,Western Carolina Catamounts,68,55,0,2,61,2717,49.1,35.1
2022-11-08,401483194,Missouri Tigers,Southern Indiana Screaming Eagles,97,91,0,2,142,88,47.9,48.3
2022-11-08,401483206,Ole Miss Rebels,Alcorn State Braves,73,58,0,2,145,2016,37.3,36.8
2022-11-08,401483235,Tennessee Volunteers,Tennessee Tech Golden Eagles,75,43,0,2,2633,2635,40.0,32.5
2022-11-08,401483236,Texas A&M Aggies,UL Monroe Warhawks,87,54,0,2,245,2433,50.8,27.1
2022-11-08,401483247,Vanderbilt Commodores,Memphis Tigers,67,76,0,2,238,235,41.1,50.9
2022-11-08,401483266,Iowa State Cyclones,IU Indianapolis Jaguars,88,39,0,2,66,85,51.6,33.3
2022-11-08,401483275,Kansas Jayhawks,Omaha Mavericks,89,64,0,2,2305,2437,52.2,38.6
2022-11-08,401483281,Kansas State Wildcats,UT Rio Grande Valley Vaqueros,93,59,0,2,2306,292,45.5,39.2
2022-11-08,401483290,Oklahoma Sooners,Sam Houston Bearkats,51,52,0,2,201,2534,37.2,32.8
2022-11-08,401483298,TCU Horned Frogs,Arkansas-Pine Bluff Golden Lions,73,72,0,2,2628,2029,38.9,41.3
2022-11-08,401483308,Texas Longhorns,UTEP Miners,72,57,0,2,251,2638,54.8,40.4
2022-11-08,401483319,Texas Tech Red Raiders,Northwestern State Demons,73,49,0,2,2641,2466,52.2,28.4
2022-11-08,401483328,West Virginia Mountaineers,Mount St. Mary's Mountaineers,76,58,0,2,277,116,49.1,32.7
2022-11-08,401483337,Illinois Fighting Illini,Eastern Illinois Panthers,87,57,0,2,356,2197,46.9,35.0
2022-11-08,401483344,Indiana Hoosiers,Morehead State Eagles,88,53,0,2,84,2413,61.0,37.0
2022-11-08,401483352,Iowa Hawkeyes,Bethune-Cookman Wildcats,89,58,0,2,2294,2065,50.7,34.8
2022-11-08,401483357,Maryland Terrapins,Niagara Purple Eagles,71,49,0,2,120,315,49.0,40.0
2022-11-08,401483371,Minnesota Golden Gophers,Western Michigan Broncos,61,60,0,2,135,2711,43.1,34.8
2022-11-08,401483378,Nebraska Cornhuskers,Maine Black Bears,79,66,0,2,158,311,46.2,47.3
2022-11-08,401483383,Northwestern Wildcats,Chicago State Cougars,85,54,0,2,77,2130,42.9,25.4
2022-11-08,401483391,Ohio State Buckeyes,Robert Morris Colonials,91,53,0,2,194,2523,55.7,31.7
2022-11-08,401483398,Penn State Nittany Lions,Winthrop Eagles,93,68,0,2,213,2737,55.0,44.9
2022-11-08,401483405,Purdue Boilermakers,Milwaukee Panthers,84,53,0,2,2509,270,37.5,38.3
2022-11-08,401483411,Rutgers Scarlet Knights,Columbia Lions,75,35,0,2,164,171,43.1,23.4
2022-11-08,401483420,Wisconsin Badgers,South Dakota Coyotes,85,59,0,2,275,233,50.9,40.4
2022-11-08,401483431,Arizona State Sun Devils,Tarleton State Texans,62,59,0,2,9,2627,33.9,34.5
2022-11-08,401483443,California Golden Bears,UC Davis Aggies,65,75,0,2,25,302,38.1,48.2
2022-11-08,401483452,Colorado Buffaloes,UC Riverside Highlanders,82,66,0,2,38,27,46.9,40.3
2022-11-08,401483461,UCLA Bruins,Sacramento State Hornets,76,50,0,2,26,16,53.1,34.5
2022-11-08,401483470,USC Trojans,Florida Gulf Coast Eagles,61,74,0,2,30,526,40.4,37.5
2022-11-08,401483479,Utah Utes,Long Island University Sharks,89,48,0,2,254,112358,41.7,32.2
2022-11-08,401484855,Michigan State Spartans,Northern Arizona Lumberjacks,73,55,0,2,127,2464,44.6,31.7
2022-11-08,401484860,Furman Paladins,North Greenville Trailblazers,91,55,0,2,231,2822,53.7,33.8
2022-11-08,401485026,Richmond Spiders,VMI Keydets,69,48,0,2,257,2678,45.1,25.0
2022-11-08,401485098,UConn Huskies,Stonehill Skyhawks,85,54,0,2,41,284,46.0,35.6
2022-11-08,401485099,Creighton Bluejays,St. Thomas Tommies,72,60,0,2,156,2900,39.4,41.4
2022-11-08,401485100,Marquette Golden Eagles,Radford Highlanders,79,69,0,2,269,2515,45.8,41.3
2022-11-08,401485103,Xavier Musketeers,Morgan State Bears,96,73,0,2,2752,2415,51.6,37.1
2022-11-08,401485104,DePaul Blue Demons,Loyola Maryland Greyhounds,72,66,0,2,305,2352,43.1,40.0
2022-11-08,401485106,Providence Friars,Rider Broncs,66,65,0,2,2507,2520,36.0,41.4
2022-11-08,401485292,Liberty Flames,Regent Royals,104,38,0,2,2335,111926,53.7,19.6
2022-11-08,401485293,Queens University Royals,Marshall Thundering Herd,83,82,0,2,2511,276,47.1,43.6
2022-11-08,401485294,Wichita State Shockers,Central Arkansas Bears,79,55,0,2,2724,2110,43.8,30.1
2022-11-08,401485389,East Tennessee State Buccaneers,Emory & Henry Wasps,88,66,0,2,2193,2213,45.5,48.0
2022-11-08,401485470,Norfolk State Spartans,Virginia Lynchburg Dragons,109,59,0,2,2450,3229,51.8,30.8
2022-11-08,401487103,Pepperdine Waves,Rice Owls,106,67,0,2,2492,242,62.9,38.1
2022-11-08,401487131,UAB Blazers,Alabama State Hornets,111,70,0,2,5,2011,53.1,31.6
2022-11-08,401487275,Bowling Green Falcons,Air Force Falcons,62,58,0,2,189,2005,39.3,40.0
2022-11-08,401487288,Colorado State Rams,Gardner-Webb Runnin' Bulldogs,65,63,0,2,36,2241,50.0,42.6
2022-11-08,401487296,UTSA Roadrunners,Trinity (TX) Tigers,74,47,0,2,2636,386,40.8,30.5
2022-11-08,401487318,Nevada Wolf Pack,Utah Tech Trailblazers,84,71,0,2,2440,3101,50.0,37.9
2022-11-08,401487327,Vermont Catamounts,Brown Bears,80,65,0,2,261,225,53.8,44.2
2022-11-08,401487352,New Mexico Lobos,Southern Utah Thunderbirds,89,81,0,2,167,253,48.3,47.0
2022-11-08,401487363,Fordham Rams,Dartmouth Big Green,88,74,0,2,2230,159,57.4,42.4
2022-11-08,401487388,UNLV Rebels,Southern Jaguars,66,56,0,2,2439,2582,31.3,35.8
2022-11-08,401487398,Utah State Aggies,Utah Valley Wolverines,75,58,0,2,328,3084,45.3,32.8
2022-11-08,401487449,Iona Gaels,Pennsylvania Quakers,78,50,0,2,314,219,40.8,32.7
2022-11-08,401487469,Yale Bulldogs,Sarah Lawrence Gryphons,96,41,0,2,43,108862,57.4,26.2
2022-11-08,401487486,Massachusetts Minutemen,Central Connecticut Blue Devils,94,67,0,2,113,2115,53.5,40.9
2022-11-08,401487516,Loyola Chicago Ramblers,Fairleigh Dickinson Knights,88,82,0,2,2350,161,46.3,40.0
2022-11-08,401487612,Dayton Flyers,Lindenwood Lions,73,46,0,2,2168,2815,47.1,32.7
2022-11-08,401487643,George Washington Revolutionaries,Virginia State Trojans,85,58,0,2,45,330,49.2,30.5
2022-11-08,401487662,Rhode Island Rams,Quinnipiac Bobcats,62,67,0,2,227,2514,36.7,41.9
2022-11-08,401487681,Saint Louis Billikens,Murray State Racers,91,68,0,2,139,93,47.3,37.1
