date,id,home,away,hs,as,hsp,hsp_name,asp,asp_name,dh,venue
2026-03-25,823244,San Francisco Giants,New York Yankees,0,7,657277,Logan Webb,608331,Max Fried,1,2395
2026-03-26,823649,New York Mets,Pittsburgh Pirates,11,7,642547,Freddy Peralta,694973,Paul Skenes,1,3289
2026-03-26,823812,Milwaukee Brewers,Chicago White Sox,14,2,694819,Jacob Misiorowski,681343,Shane Smith,1,32
2026-03-26,824704,Chicago Cubs,Washington Nationals,4,10,571510,Matthew Boyd,676917,Cade Cavalli,1,17
2026-03-26,824865,Baltimore Orioles,Minnesota Twins,2,1,669432,Trevor Rogers,657746,Joe Ryan,1,2
2026-03-26,824541,Cincinnati Reds,Boston Red Sox,0,3,671096,Andrew Abbott,676979,Garrett Crochet,1,2602
2026-03-26,824218,Houston Astros,Los Angeles Angels,0,3,686613,Hunter Brown,667755,José Soriano,1,2392
2026-03-26,823325,San Diego Padres,Detroit Tigers,2,8,601713,Nick Pivetta,669373,Tarik Skubal,1,2680
2026-03-26,823081,St. Louis Cardinals,Tampa Bay Rays,9,7,669461,Matthew Liberatore,656876,Drew Rasmussen,1,2889
2026-03-26,823486,Philadelphia Phillies,Texas Rangers,5,3,650911,Cristopher Sánchez,543135,Nathan Eovaldi,1,2681
2026-03-26,823974,Los Angeles Dodgers,Arizona Diamondbacks,8,2,808967,Yoshinobu Yamamoto,668678,Zac Gallen,1,22
2026-03-26,823163,Seattle Mariners,Cleveland Guardians,4,6,669302,Logan Gilbert,676440,Tanner Bibee,1,680
2026-03-27,823243,San Francisco Giants,New York Yankees,0,3,592662,Robbie Ray,693645,Cam Schlittler,1,2395
2026-03-27,822839,Toronto Blue Jays,Athletics,3,2,592332,Kevin Gausman,622663,Luis Severino,1,14
2026-03-27,823893,Miami Marlins,Colorado Rockies,2,1,645261,Sandy Alcantara,607536,Kyle Freeland,1,4169
2026-03-27,824946,Atlanta Braves,Kansas City Royals,6,0,519242,Chris Sale,666142,Cole Ragans,1,4705
2026-03-27,824216,Houston Astros,Los Angeles Angels,2,6,681347,Mike Burrows,579328,Yusei Kikuchi,1,2392
2026-03-27,823324,San Diego Padres,Detroit Tigers,2,5,650633,Michael King,664285,Framber Valdez,1,2680
2026-03-27,823162,Seattle Mariners,Cleveland Guardians,5,1,669923,George Kirby,668909,Gavin Williams,1,680
2026-03-27,823971,Los Angeles Dodgers,Arizona Diamondbacks,5,4,686218,Emmet Sheehan,669194,Ryne Nelson,1,22
2026-03-28,823082,St. Louis Cardinals,Tampa Bay Rays,6,5,700241,Michael McGreevy,671212,Joe Boyle,1,2889
2026-03-28,824701,Chicago Cubs,Washington Nationals,10,2,690990,Cade Horton,571945,Miles Mikolas,1,17
2026-03-28,822838,Toronto Blue Jays,Athletics,8,7,656302,Dylan Cease,605488,Jeffrey Springs,1,14
2026-03-28,824862,Baltimore Orioles,Minnesota Twins,1,4,680694,Kyle Bradish,671737,Taj Bradley,1,2
2026-03-28,823488,Philadelphia Phillies,Texas Rangers,4,5,605400,Aaron Nola,656641,Jacob Latz,1,2681
2026-03-28,824540,Cincinnati Reds,Boston Red Sox,6,5,663903,Brady Singer,543243,Sonny Gray,1,2602
2026-03-28,823651,New York Mets,Pittsburgh Pirates,4,2,656849,David Peterson,656605,Mitch Keller,1,3289
2026-03-28,823892,Miami Marlins,Colorado Rockies,4,3,691587,Eury Pérez,547179,Michael Lorenzen,1,4169
2026-03-28,824213,Houston Astros,Los Angeles Angels,11,9,664299,Cristian Javier,672282,Reid Detmers,1,2392
2026-03-28,823811,Milwaukee Brewers,Chicago White Sox,6,1,694477,Chad Patrick,680732,Sean Burke,1,32
2026-03-28,824945,Atlanta Braves,Kansas City Royals,6,2,625643,Reynaldo López,608379,Michael Wacha,1,4705
2026-03-28,823241,San Francisco Giants,New York Yankees,1,3,641816,Tyler Mahle,701542,Will Warren,1,2395
2026-03-28,823323,San Diego Padres,Detroit Tigers,3,0,681190,Randy Vásquez,656427,Jack Flaherty,1,2680
2026-03-28,823973,Los Angeles Dodgers,Arizona Diamondbacks,3,2,607192,Tyler Glasnow,593958,Eduardo Rodriguez,1,22
2026-03-28,823161,Seattle Mariners,Cleveland Guardians,5,6,693433,Bryan Woo,676282,Joey Cantillo,1,680
2026-03-29,824864,Baltimore Orioles,Minnesota Twins,8,6,669358,Shane Baz,641927,Bailey Ober,1,2
2026-03-29,823487,Philadelphia Phillies,Texas Rangers,3,8,666200,Jesús Luzardo,669022,MacKenzie Gore,1,2681
2026-03-29,824944,Atlanta Braves,Kansas City Royals,1,4,656550,Grant Holmes,607625,Seth Lugo,1,4705
2026-03-29,822837,Toronto Blue Jays,Athletics,5,2,641778,Eric Lauer,806960,Luis Morales,1,14
