date,id,home,away,hs,as,type,hfg,afg,h3,a3,hreb,areb,hto,ato,spread,total,hml,aml
2023-10-18,401591924,Miami Heat,Brooklyn Nets,104,107,,,,,,,,,,,,,
2023-10-18,401591925,New York Knicks,Washington Wizards,106,131,,,,,,,,,,,,,
2023-10-19,401591926,San Antonio Spurs,Houston Rockets,117,103,,,,,,,,,,,,,
2023-10-19,401591927,Golden State Warriors,Sacramento Kings,116,115,,,,,,,,,,,,,
2023-10-19,401591928,Charlotte Hornets,Boston Celtics,99,127,,,,,,,,,,,,,
2023-10-20,401591929,Chicago Bulls,Minnesota Timberwolves,105,114,,,,,,,,,,,,,
2023-10-20,401591930,Oklahoma City Thunder,Detroit Pistons,116,118,,,,,,,,,,,,,
2023-10-20,401591931,Los Angeles Lakers,Phoenix Suns,100,123,,,,,,,,,,,,,
2023-10-20,401591932,LA Clippers,Denver Nuggets,90,103,,,,,,,,,,,,,
2023-10-20,401591933,Sacramento Kings,Utah Jazz,116,113,,,,,,,,,,,,,
2023-10-20,401591934,Indiana Pacers,Cleveland Cavaliers,109,104,,,,,,,,,,,,,
2023-10-20,401591936,Philadelphia 76ers,Atlanta Hawks,120,106,,,,,,,,,,,,,
2023-10-20,401591937,Toronto Raptors,Washington Wizards,134,98,,,,,,,,,,,,,
2023-10-21,401591938,Dallas Mavericks,Detroit Pistons,114,104,,,,,,,,,,,,,
2023-10-21,401591939,Houston Rockets,Miami Heat,110,104,,,,,,,,,,,,,
2023-10-21,401591940,Milwaukee Bucks,Memphis Grizzlies,124,116,,,,,,,,,,,,,
2023-10-21,401591941,Golden State Warriors,San Antonio Spurs,117,122,,,,,,,,,,,,,
2023-10-24,401584689,Denver Nuggets,Los Angeles Lakers,119,107,,,,,,,,,,,,,
2023-10-25,401584690,Golden State Warriors,Phoenix Suns,104,108,,,,,,,,,,,,,
2023-10-25,401584691,Charlotte Hornets,Atlanta Hawks,116,110,,,,,,,,,,,,,
2023-10-25,401584692,Indiana Pacers,Washington Wizards,143,120,,,,,,,,,,,,,
2023-10-25,401584693,New York Knicks,Boston Celtics,104,108,,,,,,,,,,,,,
2023-10-25,401584694,Orlando Magic,Houston Rockets,116,86,,,,,,,,,,,,,
2023-10-25,401584695,Brooklyn Nets,Cleveland Cavaliers,113,114,,,,,,,,,,,,,
2023-10-25,401584696,Miami Heat,Detroit Pistons,103,102,,,,,,,,,,,,,
2023-10-25,401584697,Toronto Raptors,Minnesota Timberwolves,97,94,,,,,,,,,,,,,
2023-10-26,401584698,Chicago Bulls,Oklahoma City Thunder,104,124,,,,,,,,,,,,,
2023-10-26,401584699,Memphis Grizzlies,New Orleans Pelicans,104,111,,,,,,,,,,,,,
2023-10-26,401584700,Utah Jazz,Sacramento Kings,114,130,,,,,,,,,,,,,
2023-10-26,401584701,San Antonio Spurs,Dallas Mavericks,119,126,,,,,,,,,,,,,
2023-10-26,401584702,LA Clippers,Portland Trail Blazers,123,111,,,,,,,,,,,,,
2023-10-26,401584703,Milwaukee Bucks,Philadelphia 76ers,118,117,,,,,,,,,,,,,
2023-10-27,401584704,Los Angeles Lakers,Phoenix Suns,100,95,,,,,,,,,,,,,
2023-10-27,401584705,Charlotte Hornets,Detroit Pistons,99,111,,,,,,,,,,,,,
2023-10-27,401584706,Memphis Grizzlies,Denver Nuggets,104,108,,,,,,,,,,,,,
2023-10-27,401584707,Atlanta Hawks,New York Knicks,120,126,,,,,,,,,,,,,
2023-10-27,401584708,Boston Celtics,Miami Heat,119,111,,,,,,,,,,,,,
2023-10-27,401584709,Cleveland Cavaliers,Oklahoma City Thunder,105,108,,,,,,,,,,,,,
2023-10-28,401584710,Chicago Bulls,Toronto Raptors,104,103,,,,,,,,,,,,,
2023-10-28,401584711,San Antonio Spurs,Houston Rockets,126,122,,,,,,,,,,,,,
2023-10-28,401584712,Dallas Mavericks,Brooklyn Nets,125,120,,,,,,,,,,,,,
2023-10-28,401584713,Utah Jazz,LA Clippers,120,118,,,,,,,,,,,,,
2023-10-28,401584714,Portland Trail Blazers,Orlando Magic,97,102,,,,,,,,,,,,,
2023-10-28,401584715,Sacramento Kings,Golden State Warriors,114,122,,,,,,,,,,,,,
2023-10-28,401584716,Detroit Pistons,Chicago Bulls,118,102,,,,,,,,,,,,,
2023-10-28,401584717,Washington Wizards,Memphis Grizzlies,113,106,,,,,,,,,,,,,
2023-10-28,401584718,New Orleans Pelicans,New York Knicks,96,87,,,,,,,,,,,,,
2023-10-28,401584719,Cleveland Cavaliers,Indiana Pacers,113,125,,,,,,,,,,,,,
2023-10-28,401584720,Toronto Raptors,Philadelphia 76ers,107,114,,,,,,,,,,,,,
2023-10-29,401584721,Minnesota Timberwolves,Miami Heat,106,90,,,,,,,,,,,,,
2023-10-29,401584722,Phoenix Suns,Utah Jazz,126,104,,,,,,,,,,,,,
2023-10-29,401584723,Oklahoma City Thunder,Denver Nuggets,95,128,,,,,,,,,,,,,
2023-10-29,401584724,Houston Rockets,Golden State Warriors,95,106,,,,,,,,,,,,,
2023-10-29,401584725,Milwaukee Bucks,Atlanta Hawks,110,127,,,,,,,,,,,,,
2023-10-29,401584726,Philadelphia 76ers,Portland Trail Blazers,126,98,,,,,,,,,,,,,
2023-10-30,401584727,LA Clippers,San Antonio Spurs,123,83,,,,,,,,,,,,,
2023-10-30,401584728,Sacramento Kings,Los Angeles Lakers,132,127,,,,,,,,,,,,,
2023-10-30,401584729,Charlotte Hornets,Brooklyn Nets,121,133,,,,,,,,,,,,,
2023-10-30,401584730,Indiana Pacers,Chicago Bulls,105,112,,,,,,,,,,,,,
2023-10-30,401584731,Washington Wizards,Boston Celtics,107,126,,,,,,,,,,,,,
2023-10-30,401584732,Atlanta Hawks,Minnesota Timberwolves,127,113,,,,,,,,,,,,,
2023-10-30,401584733,Toronto Raptors,Portland Trail Blazers,91,99,,,,,,,,,,,,,
2023-10-31,401584734,Memphis Grizzlies,Dallas Mavericks,110,125,,,,,,,,,,,,,
2023-10-31,401584735,Milwaukee Bucks,Miami Heat,122,114,,,,,,,,,,,,,
2023-10-31,401584736,New Orleans Pelicans,Golden State Warriors,102,130,,,,,,,,,,,,,
2023-10-31,401584737,Oklahoma City Thunder,Detroit Pistons,124,112,,,,,,,,,,,,,
2023-10-31,401584738,Denver Nuggets,Utah Jazz,110,102,,,,,,,,,,,,,
2023-10-31,401584739,Los Angeles Lakers,Orlando Magic,106,103,,,,,,,,,,,,,
2023-10-31,401584740,Cleveland Cavaliers,New York Knicks,91,109,,,,,,,,,,,,,
2023-11-01,401584741,Phoenix Suns,San Antonio Spurs,114,115,,,,,,,,,,,,,
2023-11-01,401584742,LA Clippers,Orlando Magic,118,102,,,,,,,,,,,,,
