date,id,home,away,hs,as,ot,hsog,asog,hpp,app
2024-10-04,2024020001,Buffalo Sabres,New Jersey Devils,1,4,0,31.0,,,
2024-10-05,2024020002,New Jersey Devils,Buffalo Sabres,3,1,0,37.0,18.0,,
2024-10-08,2024020003,Seattle Kraken,St. Louis Blues,2,3,0,32.0,25.0,,
2024-10-08,2024020004,Florida Panthers,Boston Bruins,6,4,0,35.0,28.0,,
2024-10-08,2024020005,Utah Hockey Club,Chicago Blackhawks,5,2,0,27.0,26.0,,
2024-10-09,2024020006,Montréal Canadiens,Toronto Maple Leafs,1,0,0,27.0,48.0,,
2024-10-09,2024020007,Pittsburgh Penguins,New York Rangers,0,6,0,,,,
2024-10-09,2024020008,Edmonton Oilers,Winnipeg Jets,0,6,0,30.0,20.0,,
2024-10-09,2024020009,Vancouver Canucks,Calgary Flames,5,6,1,24.0,,,
2024-10-09,2024020010,Vegas Golden Knights,Colorado Avalanche,8,4,0,,,,
2024-10-10,2024020011,Boston Bruins,Montréal Canadiens,6,4,0,29.0,24.0,,
2024-10-10,2024020012,Buffalo Sabres,Los Angeles Kings,1,3,0,,23.0,,
2024-10-10,2024020013,Ottawa Senators,Florida Panthers,3,1,0,,,,
2024-10-10,2024020014,Detroit Red Wings,Pittsburgh Penguins,3,6,0,,28.0,,
2024-10-10,2024020015,New Jersey Devils,Toronto Maple Leafs,2,4,0,23.0,22.0,,
2024-10-10,2024020016,New York Islanders,Utah Hockey Club,4,5,1,27.0,26.0,,
2024-10-10,2024020017,Nashville Predators,Dallas Stars,3,4,0,36.0,,,
2024-10-10,2024020018,Minnesota Wild,Columbus Blue Jackets,3,2,0,26.0,33.0,,
2024-10-10,2024020019,San Jose Sharks,St. Louis Blues,4,5,1,29.0,40.0,,
2024-10-11,2024020020,Carolina Hurricanes,Tampa Bay Lightning,1,4,0,,23.0,,
2024-10-11,2024020021,Winnipeg Jets,Chicago Blackhawks,2,1,1,,26.0,,
2024-10-11,2024020022,Vancouver Canucks,Philadelphia Flyers,2,3,1,26.0,31.0,,
2024-10-11,2024020023,Vegas Golden Knights,St. Louis Blues,4,3,0,,,,
2024-10-12,2024020024,Boston Bruins,Los Angeles Kings,2,1,1,26.0,34.0,,
2024-10-12,2024020025,Buffalo Sabres,Florida Panthers,5,2,0,27.0,,,
2024-10-12,2024020026,Toronto Maple Leafs,Pittsburgh Penguins,4,2,0,33.0,23.0,,
2024-10-12,2024020027,Montréal Canadiens,Ottawa Senators,4,1,0,,25.0,,
2024-10-12,2024020028,Detroit Red Wings,Nashville Predators,3,0,0,,,,
2024-10-12,2024020030,New York Rangers,Utah Hockey Club,5,6,1,34.0,,,
2024-10-12,2024020031,Washington Capitals,New Jersey Devils,3,5,0,32.0,33.0,,
2024-10-12,2024020032,Dallas Stars,New York Islanders,3,0,0,27.0,34.0,,
2024-10-12,2024020033,Minnesota Wild,Seattle Kraken,4,5,1,38.0,,,
2024-10-12,2024020034,Colorado Avalanche,Columbus Blue Jackets,4,6,0,,,,
2024-10-12,2024020035,Calgary Flames,Philadelphia Flyers,6,3,0,,,,
2024-10-12,2024020036,Edmonton Oilers,Chicago Blackhawks,2,5,0,38.0,,,
2024-10-12,2024020037,San Jose Sharks,Anaheim Ducks,0,2,0,30.0,30.0,,
2024-10-13,2024020038,Winnipeg Jets,Minnesota Wild,2,1,1,35.0,,,
2024-10-13,2024020039,Dallas Stars,Seattle Kraken,2,0,0,23.0,25.0,,
2024-10-13,2024020040,Edmonton Oilers,Calgary Flames,1,4,0,26.0,29.0,,
2024-10-13,2024020041,Vegas Golden Knights,Anaheim Ducks,3,1,0,32.0,,,
2024-10-14,2024020042,Boston Bruins,Florida Panthers,3,4,0,27.0,26.0,,
2024-10-14,2024020043,Ottawa Senators,Los Angeles Kings,8,7,1,41.0,26.0,,
2024-10-14,2024020044,New Jersey Devils,Utah Hockey Club,3,0,0,,20.0,,
2024-10-14,2024020045,New York Rangers,Detroit Red Wings,4,1,0,,32.0,,
2024-10-14,2024020046,Montréal Canadiens,Pittsburgh Penguins,3,6,0,28.0,30.0,,
2024-10-14,2024020047,Colorado Avalanche,New York Islanders,2,6,0,34.0,37.0,,
2024-10-15,2024020048,Tampa Bay Lightning,Vancouver Canucks,4,1,0,27.0,27.0,,
2024-10-15,2024020049,Washington Capitals,Vegas Golden Knights,4,2,0,22.0,26.0,,
2024-10-15,2024020050,Carolina Hurricanes,New Jersey Devils,4,2,0,31.0,26.0,,
2024-10-15,2024020051,Columbus Blue Jackets,Florida Panthers,3,4,0,38.0,22.0,,
2024-10-15,2024020052,St. Louis Blues,Minnesota Wild,1,4,0,28.0,,,
2024-10-15,2024020053,Nashville Predators,Seattle Kraken,3,7,0,,,,
2024-10-15,2024020054,Dallas Stars,San Jose Sharks,3,2,1,38.0,27.0,,
2024-10-15,2024020055,Calgary Flames,Chicago Blackhawks,3,1,0,27.0,32.0,,
2024-10-15,2024020056,Edmonton Oilers,Philadelphia Flyers,4,3,1,31.0,30.0,,
2024-10-16,2024020057,Pittsburgh Penguins,Buffalo Sabres,6,5,1,43.0,33.0,,
2024-10-16,2024020058,Toronto Maple Leafs,Los Angeles Kings,6,2,0,26.0,34.0,,
2024-10-16,2024020059,Colorado Avalanche,Boston Bruins,3,5,0,25.0,,,
2024-10-16,2024020060,Anaheim Ducks,Utah Hockey Club,5,4,1,,30.0,,
2024-10-17,2024020061,Montréal Canadiens,Los Angeles Kings,1,4,0,27.0,32.0,,
2024-10-17,2024020062,Ottawa Senators,New Jersey Devils,1,3,0,,35.0,,
2024-10-17,2024020063,Detroit Red Wings,New York Rangers,2,5,0,31.0,34.0,,
